Date,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2020-01-21T00:00:00.000,73.84481811523438,74.22494042900655,73.24498747587538,73.68289896309959,48930000
2020-01-22T00:00:00.000,73.92550659179688,74.75799134476836,73.8652316275804,74.21745513521142,28458000
2020-01-23T00:00:00.000,73.96636199951172,74.4052768729522,73.74865298533626,74.10885083507527,26650000
2020-01-24T00:00:00.000,73.04370880126953,74.44014342272132,72.8947432066111,74.37139241036722,29786000
2020-01-27T00:00:00.000,71.32793426513672,71.56955866813779,70.71863939255725,71.31846997752507,34132000
2020-01-28T00:00:00.000,72.2630386352539,72.47725839870864,71.25967218463677,71.82661717961386,29724000
2020-01-29T00:00:00.000,72.57191467285156,72.94257262840148,72.00845893497106,72.65959425732443,21566000
2020-01-30T00:00:00.000,72.44986724853516,72.49968208968686,71.49084223477435,71.64528116546836,27110000
2020-01-31T00:00:00.000,71.38024139404297,73.21807678829367,71.09527131841374,73.12790379399927,43822000
2020-02-03T00:00:00.000,73.86224365234375,74.04658061144849,72.56743786363523,72.818526558395,71636000
2020-02-04T00:00:00.000,72.00946044921875,73.10199650551328,70.84468413309284,72.46182298123878,95880000
2020-02-05T00:00:00.000,72.04134368896484,72.96449562114519,71.22580336725193,72.91617074068874,36376000
2020-02-06T00:00:00.000,73.53194427490234,73.81043759584276,72.26204969986705,72.33677576359966,37822000
2020-02-07T00:00:00.000,73.68836975097656,73.99426007334321,73.0058464103526,73.10448784833639,28360000
2020-02-10T00:00:00.000,75.1605453491211,75.1715071998613,73.49359145462412,73.59472631055179,38302000
2020-02-11T00:00:00.000,75.23027801513672,76.21770340309827,75.00061132161902,75.39019785597917,34852000
2020-02-12T00:00:00.000,75.65724182128906,75.74043633057408,75.16103948219266,75.51923806383654,31042000
2020-02-13T00:00:00.000,75.39618682861328,76.02191687395778,74.92837735428414,75.22729680616945,22914000
2020-02-14T00:00:00.000,75.66221618652344,75.72797967828164,75.00559231326048,75.45297562350825,23198000
2020-02-18T00:00:00.000,75.69759368896484,76.25158520613671,75.27761496690005,75.4435174707526,25642000
2020-02-19T00:00:00.000,75.96810913085938,76.2605518097851,75.77431549389932,76.08418918563441,22746000
2020-02-20T00:00:00.000,75.57553100585938,76.07770834757048,74.94132496189518,75.67616412195946,25962000
2020-02-21T00:00:00.000,73.90508270263672,75.27462206552566,73.6574832677561,74.95726817378268,42520000
2020-02-24T00:00:00.000,70.736572265625,71.55959279941615,70.08543687850549,70.89549627943762,49560000
2020-02-25T00:00:00.000,69.06562805175781,71.58299907032023,68.77169543510105,71.29155985609103,51580000
2020-02-26T00:00:00.000,69.27237701416016,70.42819069892191,68.57889184403786,69.49706450646832,49776000
2020-02-27T00:00:00.000,65.51001739501953,68.2226873655206,65.4746460468317,67.7115398365822,62290000
2020-02-28T00:00:00.000,66.72062683105469,66.88004494343048,63.18145503464202,63.48535365075221,80198000
2020-03-02T00:00:00.000,69.06562805175781,69.12291549289797,66.02066676283309,67.32543840692219,55430000
2020-03-03T00:00:00.000,66.64441680908203,70.15518886051058,66.2219446617251,69.63158946211831,56602000
2020-03-04T00:00:00.000,68.83049011230469,68.88927512353104,66.60854135808763,67.7025750397975,47598000
2020-03-05T00:00:00.000,65.50055694580078,67.4370414491301,64.84692814514692,67.03449374191095,54380000
2020-03-06T00:00:00.000,64.55299377441406,64.90222218354712,62.63345001724397,63.26815022542305,64640000
2020-03-09T00:00:00.000,60.56992721557617,62.41025590343553,59.685632138917605,60.03038304280918,69252000
2020-03-10T00:00:00.000,63.528202056884766,63.56207964343921,60.50615637636564,62.49295728889708,54872000
2020-03-11T00:00:00.000,60.32630920410156,62.61949838943698,59.34187890099212,62.18806372644597,54732000
2020-03-12T00:00:00.000,55.37675476074219,59.22281313910036,55.22331167410478,55.92825665674984,94326000
2020-03-13T00:00:00.000,60.494205474853516,60.500682240290445,55.413620095234876,58.537298689662194,79400000
2020-03-16T00:00:00.000,53.45621871948242,57.06662772504203,53.161286436824646,54.28371671880484,96520000
2020-03-17T00:00:00.000,55.701080322265625,56.09664573448183,52.265536316051694,54.33503393484652,83194000
2020-03-18T00:00:00.000,54.362430572509766,55.049936896919235,51.66271423119009,52.80557438423959,93044000
2020-03-19T00:00:00.000,55.38273620605469,57.42234346746838,52.58687152446784,54.21447058565481,74064000
2020-03-20T00:00:00.000,53.21758270263672,56.71839227547209,52.91318612762283,56.34075959872419,82878000
2020-03-23T00:00:00.000,52.5161247253418,53.152816591676384,50.2612982120029,52.62771969397402,83672000
2020-03-24T00:00:00.000,56.296424865722656,56.46182565314056,54.1252943715928,54.999627350986934,72468000
2020-03-25T00:00:00.000,54.882049560546875,57.10150097644301,53.95491048168835,56.02590181648933,90324000
2020-03-26T00:00:00.000,57.935977935791016,58.3624334086797,54.4042821365031,55.53468295067127,76562000
2020-03-27T00:00:00.000,55.3124885559082,57.34462310546679,55.000619379792866,56.16988078028349,62794000
2020-03-30T00:00:00.000,57.10847473144531,57.34212859909248,54.72611218061649,56.42744514551845,58736000
2020-03-31T00:00:00.000,57.88765335083008,58.458083824910496,56.630708544990256,57.2290415631662,65228000
2020-04-01T00:00:00.000,54.90596008300781,56.267027211100036,54.47701502016982,55.99700615531,51970000
2020-04-02T00:00:00.000,55.64976501464844,55.93572711969801,54.459081676414385,54.80133918570253,56410000
2020-04-03T00:00:00.000,54.43765640258789,55.73744511904495,53.55984186349984,55.53418339732919,51374000
2020-04-06T00:00:00.000,58.94581985473633,59.32245290132051,56.04682865790388,56.44538540428317,63320000
